Model,Threshold,Precision_Bad,Recall_Bad,F1_Bad,Flagged_as_Bad_%
Tuned HistGradientBoosting,0.19999999999999996,0.3263598326359833,0.6446280991735537,0.43333333333333335,36.48854961832061
Tuned HistGradientBoosting,0.22999999999999995,0.35467980295566504,0.5950413223140496,0.4444444444444444,30.99236641221374
Tuned HistGradientBoosting,0.29999999999999993,0.4117647058823529,0.4628099173553719,0.4357976653696498,20.763358778625953
Tuned HistGradientBoosting,0.3999999999999998,0.45054945054945056,0.33884297520661155,0.3867924528301887,13.893129770992365
Tuned HistGradientBoosting,0.4999999999999998,0.5161290322580645,0.2644628099173554,0.34972677595628415,9.465648854961833
